catalog_id,fid,original_validation,smiles,hasTertiaryAmine,nHBD,nHBA,cLogP,nHeteroAtoms,RingCount,nRotatableBonds,nAromaticBonds,nAcidicGroup,nBasicGroup,AtomicPolarizability,MolWt,TPSA,MaxTrainSimilarity,ClosestTrainSmiles,ClosestTrainIdentifier,FpClusterId,PhysChemClusterId
Z2866902884,,,C#CCCC1(CCC(=O)N2CCN3CC(F)(F)C[C@H]3C2)N=N1,1,0.0,4.0,1.89,7.0,3.0,5.0,0.0,0.0,1.0,46.05,310.35,48.27,0.53,C#CCCC1(CCC(=O)N2CCCC3CCC(F)(F)CC32)N=N1,C386,13.0,0.0
Z2866902887,,,C#CCCC1(CCC(=O)N2CCCC(C(=O)N3CCOCC3)C2)N=N1,0,0.0,5.0,1.44,7.0,3.0,6.0,0.0,0.0,0.0,55.82,346.43,74.57,0.61,C#CCCC1(CCC(=O)N2CCCC(c3[nH]ncc3CN3CCOCC3)C2)N=N1,C329,11.0,11.0
Z2866902889,,,C#CCCC1(CCC(=O)N2CCC(C(=O)N3CCOCC3)CC2)N=N1,0,0.0,5.0,1.44,7.0,3.0,6.0,0.0,0.0,0.0,55.82,346.43,74.57,0.62,C#CCCC1(CCC(=O)N2C[C@@H](O)[C@H](N3CCOCC3)C2)N=N1,C113,13.0,11.0
Z2866902892,,,C#CCCC1(CCC(=O)N2CCCCC2C(=O)N2CCOCC2)N=N1,0,0.0,5.0,1.58,7.0,3.0,6.0,0.0,0.0,0.0,55.82,346.43,74.57,0.58,C#CCCC1(CCC(=O)N2CCN3CCCCC2C3)N=N1,C117,0.0,11.0
Z2866902900,,,C#CCCC1(CCC(=O)NC2CCCOc3c(Cl)cccc32)N=N1,0,1.0,4.0,4.03,6.0,3.0,6.0,6.0,0.0,0.0,52.1,345.83,63.05,0.60,C#CCCC1(CCC(=O)NC2CCc3cccc4cccc2c34)N=N1,C245,9.0,9.0
Z2866902917,,,C#CCCC1(CCC(=O)N2CCC(C(=O)NCC(F)(F)F)C2)N=N1,0,1.0,4.0,1.87,9.0,2.0,7.0,0.0,0.0,0.0,46.74,344.34,74.13,0.59,C#CCCC1(CCC(=O)N2CCCC(COC(F)(F)F)C2)N=N1,C307,11.0,11.0
Z2866902920,,,C#CCCC1(CCC(=O)NC2CC3(CCN(C)CC3)Oc3ccccc32)N=N1,1,1.0,5.0,3.45,6.0,4.0,6.0,6.0,0.0,1.0,63.39,380.49,66.29,0.53,C#CCCC1(CCC(=O)NC2CCc3cccc4cccc2c34)N=N1,C245,9.0,9.0
Z2866902930,,,C#CCCC1(CCC(=O)NC2(Cc3ccc(Cl)cc3)CCC2)N=N1,0,1.0,3.0,4.28,5.0,3.0,8.0,6.0,0.0,0.0,54.39,343.86,53.82,0.69,C#CCCC1(CCC(=O)NC2(Cc3ccc(F)c(C)c3)CC2)N=N1,C357,4.0,9.0
Z2866902934,,,C#CCCC1(CCC(=O)NC(C)c2nc(C3CCCCC3)no2)N=N1,0,1.0,6.0,3.65,7.0,3.0,8.0,5.0,0.0,0.0,55.45,343.43,92.74,0.48,C#CCCC1(CCC(=O)NC(C(=O)N2CCCCC2)C(C)C)N=N1,C009,9.0,2.0
Z2866902938,,,C#CCCC1(CCC(=O)N2CCC(Oc3cccc(F)c3)CC2)N=N1,0,0.0,4.0,3.55,6.0,3.0,7.0,6.0,0.0,0.0,53.57,343.4,54.26,0.60,C#CCCC1(CCC(=O)N2CCC(C(O)c3cccc(OC)c3)CC2)N=N1,C286,11.0,9.0
Z2866902947,,,C#CCCC1(CCC(=O)N2CCCC(n3cc(C(=O)O)cn3)C2)N=N1,0,1.0,6.0,2.10,8.0,3.0,7.0,5.0,1.0,0.0,51.83,343.39,100.15,0.57,C#CCCC1(CCC(=O)N2CCCC(N3C(=O)CC4(CCCC4)C3=O)C2)N=N1,C042,11.0,13.0
Z2866902960,,,C#CCCC1(CCC(=O)N2CCOC(c3ccccc3C(F)(F)F)C2)N=N1,0,0.0,4.0,3.96,8.0,3.0,6.0,6.0,0.0,0.0,53.35,379.38,54.26,0.61,C#CCCC1(CCC(=O)N2CCOC(c3c(Cl)cccc3OC)C2)N=N1,C213,11.0,9.0
Z2866902966,,,C#CCCC1(CCC(=O)N2CCOC(c3cccc(C(F)(F)F)c3)C2)N=N1,0,0.0,4.0,3.96,8.0,3.0,6.0,6.0,0.0,0.0,53.35,379.38,54.26,0.60,C#CCCC1(CCC(=O)N2CCOC(c3c(Cl)cccc3OC)C2)N=N1,C213,11.0,9.0
Z2866902973,,,C#CCCC1(CCC(=O)N2CCN(c3cccc(F)c3)C(=O)C2)N=N1,0,0.0,4.0,2.36,7.0,3.0,6.0,6.0,0.0,0.0,50.91,342.37,65.34,0.53,C#CCCC1(CCC(=O)N2CCc3c(ncn3-c3ccc(F)cc3)C2)N=N1,C224,7.0,4.0
Z2866902978,,,C#CCCC1(CCC(=O)N2CCN(c3ccc(C(F)(F)F)cc3)CC2)N=N1,0,0.0,4.0,3.71,8.0,3.0,6.0,6.0,0.0,0.0,54.32,378.4,48.27,0.55,C#CCCC1(CCC(=O)NCc2cc(C(F)(F)F)ccc2N2CCN(C)CC2)N=N1,C310,7.0,9.0
Z2866902981,,,C#CCCC1(CCC(=O)NC2CCN(c3ccc(C(F)(F)F)cc3)C2)N=N1,0,1.0,4.0,3.76,8.0,3.0,7.0,6.0,0.0,0.0,54.32,378.4,57.06,0.60,C#CCCC1(CCC(=O)NC2CCN(c3ccc4nncn4n3)C2)N=N1,C203,9.0,9.0
Z2866902985,,,C#CCCC1(CCC(=O)N2CCCC2(C)Cc2ccccc2F)N=N1,0,0.0,3.0,4.11,5.0,3.0,7.0,6.0,0.0,0.0,55.86,341.43,45.03,0.56,C#CCCC1(CCC(=O)N2CC(OCc3ccccc3F)C2)N=N1,C140,7.0,9.0
Z2866903017,,,C#CCCC1(CCC(=O)N2CCOC(c3cccc(OC(F)F)c3)C2)N=N1,0,0.0,5.0,3.54,8.0,3.0,8.0,6.0,0.0,0.0,54.26,377.39,63.49,0.63,C#CCCC1(CCC(=O)N2CCOC(c3c(Cl)cccc3OC)C2)N=N1,C213,11.0,2.0
Z2866903026,,,C#CCCC1(CCC(=O)N2CC(Oc3nccs3)C2)N=N1,0,0.0,6.0,2.09,7.0,3.0,7.0,5.0,0.0,0.0,44.21,304.38,67.15,0.55,C#CCCC1(CCC(=O)N2CC(OCc3ccccc3F)C2)N=N1,C140,11.0,13.0
Z2866903034,,,C#CCCC1(CCC(=O)N2CCn3c(nnc3C(F)(F)F)C2)N=N1,0,0.0,6.0,1.99,10.0,3.0,5.0,5.0,0.0,0.0,43.71,340.31,75.74,0.50,C#CCCC1(CCC(=O)N2CC3(CCC3)OC3(CCC3)C2)N=N1,C387,7.0,13.0
Z2866903045,,,C#CCCC1(CCC(=O)NC(C(=O)O)c2ccnn2C)N=N1,0,2.0,6.0,1.02,8.0,2.0,8.0,5.0,1.0,0.0,43.88,303.32,108.94,0.53,C#CCCC1(CCC(=O)NCc2nn[nH]c2-c2ccnn2C)N=N1,C283,4.0,3.0
Z2866903078,,,C#CCCC1(CCC(=O)N2CCC3(CCN(C)CC3)C2)N=N1,1,0.0,4.0,2.29,5.0,3.0,5.0,0.0,0.0,1.0,52.46,302.42,48.27,0.62,C#CCCC1(CCC(=O)N2C[C@H]3CN(C)CC[C@@]3(CO)C2)N=N1,C073,13.0,0.0
Z2866903084,,,C#CCCC1(CCC(=O)N2CCCC3(CCN(C)C3)C2)N=N1,1,0.0,4.0,2.29,5.0,3.0,5.0,0.0,0.0,1.0,52.46,302.42,48.27,0.64,C#CCCC1(CCC(=O)N2CCCC(O)(CN(C)C)C2)N=N1,C336,13.0,0.0
