catalog_id,smiles
Z2866903134,C#CCCC1(CCC(=O)N2CCCC2(C)Cc2ccc(C(F)F)cc2)N=N1
Z2866903137,C#CCCC1(CCC(=O)NCc2cn(C3CCC3)nn2)N=N1
Z2866903143,C#CCCC1(CCC(=O)N2CCC(n3ccnn3)CC2)N=N1
Z2866903145,C#CCCC1(CCC(=O)N2CCC(c3ncco3)CC2)N=N1
Z2866903161,C#CCCC1(CCC(=O)N2CCC3(C2)C(=O)Nc2ccccc23)N=N1
Z2866903174,C#CCCC1(CCC(=O)N2CCN(Cc3cc(F)ccc3OC)CC2)N=N1
Z2866903178,C#CCCC1(CCC(=O)N[C@@H]2C[C@H]2c2cnn(C)c2C)N=N1
Z2866903181,C#CCCC1(CCC(=O)N2CC(c3ccccc3)C3(CCC3)C2)N=N1
Z2866903187,C#CCCC1(CCC(=O)N2CCc3c2cccc3C(F)(F)F)N=N1
Z2866903189,C#CCCC1(CCC(=O)Nc2ncn(CC(=O)N3CCCCCC3)n2)N=N1
Z2866903203,C#CCCC1(CCC(=O)NC2CCN(c3nccn(CC)c3=O)CC2)N=N1
Z2866903206,C#CCCC1(CCC(=O)NC2CCN(C(=O)c3ccccc3F)CC2)N=N1
Z2866903211,C#CCCC1(CCC(=O)N2CCCC2c2ncccn2)N=N1
Z2866903215,C#CCCC1(CCC(=O)NCc2ncc3c(n2)CCC3)N=N1
Z2866903218,C#CCCC1(CCC(=O)N[C@@H]2C[C@H]2c2ccc(Cl)c(F)c2)N=N1
Z2866903225,C#CCCC1(CCC(=O)Nc2cc3c(cc2Cl)OCCO3)N=N1
Z2866903231,C#CCCC1(CCC(=O)N2CC(c3cnn(C)c3)C3(CCOCC3)C2)N=N1
Z2866903236,C#CCCC1(CCC(=O)N2CCC(c3ccncc3)C2)N=N1
Z2866903238,C#CCCC1(CCC(=O)NC[C@@H]2C[C@H]2c2cccnc2)N=N1
Z2866903240,C#CCCC1(CCC(=O)Nc2nc(C3CCOCC3)cs2)N=N1
Z2866903245,C#CCCC1(CCC(=O)N2CCCC(c3nnc4n3CCCCC4)C2)N=N1
Z2866903259,C#CCCC1(CCC(=O)NCc2nnc3n2CCCC3C(F)(F)F)N=N1
Z2866903265,C#CCCC1(CCC(=O)NCc2cc(Cl)cc3c2OCC3)N=N1
Z2866903269,C#CCCC1(CCC(=O)N2CCC(N3CCCNC3=O)CC2)N=N1
Z2866903275,C#CCCC1(CCC(=O)N2C[C@@H](OC)C[C@@H]2c2nc(C)no2)N=N1
Z2866903281,C#CCCC1(CCC(=O)N2CCC(C(=O)O)(C(F)(F)F)C2)N=N1
Z2866903314,C#CCCC1(CCC(=O)N2CCCC(CNC(=O)c3ccccc3)C2)N=N1
Z2866903316,C#CCCC1(CCC(=O)N2CCN(C(=O)Cc3ccccc3C)CC2)N=N1
Z2866903318,C#CCCC1(CCC(=O)NCC2CCN(C(=O)c3ccccc3)CC2)N=N1
Z2866903320,C#CCCC1(CCC(=O)N2CCCN(C(=O)c3cccc(C)c3)CC2)N=N1
Z2866903324,C#CCCC1(CCC(=O)Nc2cnn(Cc3nnc4n3CCCC4)c2)N=N1
Z2866903331,C#CCCC1(CCC(=O)NC2(Cc3cccc(Cl)c3)CC2)N=N1
